candidate_id,gender,age,race,disability,years_experience,education_level,university_rank,skills_count,previous_salary,hired
1,male,33,black,no,1,Bachelor,36,3,70002,0
2,female,37,black,no,8,Master,30,12,61370,0
3,female,45,black,no,7,Master,74,8,77375,1
4,female,40,white,yes,6,Bachelor,45,9,95319,1
5,male,29,white,no,3,Bachelor,71,12,79362,0
6,male,52,white,no,15,Master,5,14,74571,0
7,male,42,white,no,6,Master,55,15,81459,1
8,female,38,black,no,0,Bachelor,9,13,64903,0
9,female,44,asian,no,11,PhD,17,5,71419,1
10,female,58,asian,yes,14,Bachelor,23,6,27855,0
11,male,37,asian,no,5,Bachelor,16,12,104343,1
12,female,27,white,no,6,Master,52,13,87469,1
13,female,29,black,no,6,Bachelor,29,12,60663,0
14,male,46,white,no,7,Master,61,16,127468,1
15,male,39,black,no,16,Master,39,14,82175,1
16,male,46,white,no,9,Master,80,17,54096,0
17,male,33,white,no,15,Bachelor,98,12,101418,1
18,male,36,white,no,4,Bachelor,9,16,89951,1
19,male,47,hispanic,no,7,Bachelor,26,12,89864,0
20,male,62,white,no,15,Master,81,12,69356,1
21,female,47,white,no,5,Master,61,5,91262,0
22,male,53,white,no,16,Master,51,3,73456,0
23,male,31,asian,no,6,Master,58,10,93898,1
24,male,37,black,yes,8,PhD,7,15,32376,1
25,male,28,black,no,20,Master,57,12,69153,1
26,female,38,white,no,7,Bachelor,88,12,123053,0
27,male,44,black,no,10,Bachelor,35,4,60823,1
28,male,47,white,no,13,Master,73,3,64904,0
29,female,42,asian,no,11,Bachelor,92,16,68800,0
30,male,43,black,yes,11,Bachelor,37,10,49629,0
31,female,28,white,no,9,Master,76,9,24792,0
32,male,35,white,no,2,Master,92,9,74235,0
33,male,36,white,no,12,Bachelor,54,6,83396,1
34,female,28,white,no,5,Master,88,13,78687,0
35,female,30,white,no,14,Master,20,11,76378,0
36,female,29,black,no,18,Bachelor,80,8,81076,1
37,male,44,white,yes,0,Bachelor,81,4,105571,1
38,male,50,white,no,18,Bachelor,43,16,75238,1
39,female,39,white,no,7,Master,93,3,65647,0
40,male,52,white,no,9,Master,50,3,72971,1
41,male,51,asian,no,4,PhD,92,11,94483,0
42,male,60,white,no,11,Master,51,6,115300,1
43,male,56,black,no,10,Bachelor,48,7,64296,1
44,female,39,asian,no,16,Bachelor,13,5,82473,0
45,male,63,black,yes,5,Master,91,6,88458,1
46,female,60,asian,yes,19,Bachelor,54,14,55185,0
47,male,38,white,no,13,Bachelor,81,10,80510,0
48,male,35,hispanic,yes,10,Bachelor,64,15,43358,0
49,male,52,white,no,8,Bachelor,19,6,35773,1
50,male,45,white,no,8,Bachelor,40,11,89168,0
51,female,56,black,no,8,Bachelor,67,11,70403,0
52,female,55,hispanic,no,11,Bachelor,73,8,85057,0
53,female,24,asian,no,8,Bachelor,90,4,79552,0
54,female,58,white,no,6,Master,84,14,55589,0
55,female,64,white,no,11,Master,45,12,78868,0
56,female,61,hispanic,no,4,Bachelor,78,13,49172,0
57,male,47,white,no,11,Master,28,9,114774,1
58,male,44,asian,no,8,Bachelor,86,11,46100,1
59,male,60,asian,yes,14,Master,53,8,75105,1
60,male,36,white,no,15,PhD,22,5,53943,1
61,male,25,white,no,15,Master,11,16,94260,1
62,male,50,white,no,11,Master,8,17,71714,1
63,female,43,white,no,12,Bachelor,94,9,67033,0
64,male,46,asian,no,8,Bachelor,73,7,101330,1
65,male,34,white,no,14,PhD,64,3,80735,1
66,male,39,asian,no,14,Bachelor,59,5,92916,1
67,male,54,white,yes,0,Bachelor,20,7,55466,0
68,female,37,hispanic,no,12,Master,94,9,44879,1
69,male,63,white,no,18,Master,86,5,82680,1
70,female,23,white,no,7,PhD,33,8,72028,0
71,female,56,white,no,6,Bachelor,27,7,95660,0
72,male,63,asian,no,7,PhD,18,15,78002,1
73,male,55,black,no,0,Bachelor,83,3,85126,1
74,female,51,asian,no,10,Bachelor,53,12,39415,0
75,female,34,white,no,10,Master,37,8,127210,0
76,female,34,white,no,11,Bachelor,29,16,75893,0
77,female,39,black,no,12,Bachelor,25,10,97439,0
78,male,53,white,no,5,Master,21,15,59097,0
79,male,53,white,no,11,Bachelor,27,15,87700,0
80,male,56,hispanic,no,12,Bachelor,61,3,47428,1
81,female,60,hispanic,yes,7,Bachelor,85,4,91301,0
82,female,50,hispanic,yes,12,Bachelor,62,16,71100,0
83,male,50,asian,no,10,Bachelor,18,17,80729,0
84,male,37,white,no,6,Master,97,6,97449,1
85,male,31,white,no,11,Master,24,14,49186,1
86,male,51,black,no,8,Bachelor,34,4,62887,1
87,female,46,asian,no,14,Master,23,13,91433,1
88,female,60,white,no,8,Bachelor,57,11,132455,0
89,female,41,white,no,2,Bachelor,60,12,76547,1
90,male,26,white,yes,11,Master,81,10,94778,0
91,male,22,black,no,11,Bachelor,86,10,77325,0
92,female,51,asian,no,3,PhD,27,6,128556,1
93,female,24,asian,no,14,Bachelor,66,7,36319,1
94,female,35,white,no,14,Master,37,6,82365,1
95,female,51,hispanic,no,4,Bachelor,22,15,39361,0
96,male,25,black,no,6,Bachelor,77,11,17335,1
97,male,39,white,no,9,Bachelor,37,15,87436,1
98,male,58,white,no,5,Master,36,4,83487,0
99,male,46,white,no,13,Master,65,15,72879,1
100,male,22,white,no,10,PhD,58,13,77345,0
101,male,36,hispanic,no,3,Bachelor,21,10,157457,0
102,female,30,white,no,5,Bachelor,23,4,73545,1
103,male,36,asian,no,17,Bachelor,95,3,92753,1
104,male,45,white,no,19,Master,74,12,63765,0
105,female,25,white,no,13,PhD,38,5,87380,0
106,male,33,white,no,8,Bachelor,88,11,74044,1
107,male,58,white,no,7,Master,29,14,69737,1
108,female,58,white,no,13,Bachelor,72,5,125472,1
109,male,64,hispanic,no,10,Master,78,11,109429,0
110,male,27,black,no,0,PhD,78,9,83418,1
111,male,60,black,yes,16,Bachelor,92,15,22394,0
112,male,45,white,yes,18,Bachelor,89,12,70974,0
113,female,32,white,no,14,PhD,15,3,147575,1
114,female,34,white,no,3,PhD,95,12,74233,0
115,female,55,black,no,6,Master,20,7,107580,1
116,female,46,white,no,0,Master,94,11,116048,0
117,female,28,white,no,19,Bachelor,65,14,85474,1
118,male,25,black,no,7,Master,98,17,58954,0
119,female,29,white,no,23,Master,84,17,19117,0
120,male,41,white,no,21,Master,11,5,97104,1
121,female,50,white,no,4,Bachelor,20,11,59631,1
122,female,31,hispanic,no,5,Bachelor,20,7,84403,1
123,male,64,black,yes,12,Bachelor,44,11,48754,1
124,male,55,white,no,0,Bachelor,16,12,73369,0
125,male,47,white,no,7,Bachelor,39,8,80842,0
126,male,62,hispanic,no,6,Bachelor,25,11,86714,1
127,female,24,black,no,21,Bachelor,54,9,52129,0
128,female,27,white,no,10,Bachelor,47,9,109922,0
129,male,26,asian,no,8,Master,21,10,65077,0
130,male,26,white,yes,6,Bachelor,36,9,38138,1
131,male,44,black,no,15,Bachelor,45,14,77274,1
132,male,30,black,no,7,Bachelor,10,11,80859,1
133,male,56,white,no,9,Bachelor,92,13,84014,0
134,male,41,hispanic,no,6,Master,31,11,114053,1
135,female,63,asian,yes,0,Bachelor,24,8,74088,0
136,male,56,black,no,4,Master,29,9,77009,1
137,male,39,white,no,6,PhD,70,4,52420,1
138,female,38,white,no,8,Master,13,17,100513,1
139,male,45,white,no,8,Master,96,11,84607,1
140,female,24,asian,no,9,PhD,57,14,69499,1
141,female,53,white,no,7,Master,65,15,32383,1
